timeslot,energy_kWh
1-1,45.40588521481269
1-8,45.40588521481269
1-15,45.40588521481269
1-22,45.40588521481269
1-29,70.94147188183858
2-5,90.09316188210805
2-12,90.09316188210805
2-19,90.09316188210805
2-26,109.40292759320917
3-4,135.14928187467765
3-11,135.14928187467765
3-18,135.14928187467765
3-25,135.14928187467765
4-1,184.7336956112195
4-8,184.7336956112195
4-15,184.7336956112195
4-22,184.7336956112195
4-29,203.49806983724764
5-6,211.00381952765892
5-13,211.00381952765892
5-20,211.00381952765892
5-27,214.06479516959118
6-3,221.7172342744218
6-10,221.7172342744218
6-17,221.7172342744218
6-24,221.7172342744218
7-1,211.35994411757875
7-8,211.35994411757875
7-15,211.35994411757875
7-22,211.35994411757875
7-29,208.61269728105233
8-5,206.55226215365755
8-12,206.55226215365755
8-19,206.55226215365755
8-26,199.7027992075277
9-2,158.6060215307483
9-9,158.6060215307483
9-16,158.6060215307483
9-23,158.6060215307483
9-30,114.53814727520677
10-7,107.19350156594989
10-14,107.19350156594989
10-21,107.19350156594989
10-28,83.96400331487604
11-4,52.991338980110775
11-11,52.991338980110775
11-18,52.991338980110775
11-25,50.30514207328489
12-2,34.18796063232955
12-9,34.18796063232955
12-16,34.18796063232955
12-23,34.18796063232955
12-30,9.76798875209415
